Axy 4-70,Cxy 4-70,Bxy 4-70
0.03055,0.006735,0.076594
-0.148687,0,0.075223
0,-0.016306,-0.061881
-0.391137,0,-0.138094
0,-0.007244,0
0,0,-0.37062
0,0,0.323447
0,0,-0.271337
-0.432612,0,-0.687921
0,-0.024012,0.225189
0,0,0
0,0,0
0,0,0
0,0,-0.081101
0.667657,0,0.666028
0,0,0
0.2851,0.005193,0.734285
0,0,0
0,0,0
0,0,0
0,0,0
-0.172529,0.046605,-0.202467
0,0,0
0,0,-0.54249
0,0,0
0,0,0
0,0,0
0,0,-0.016149
0,-0.007366,0
0,0,0
0,0,0
0,0,0.099819
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.030084
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.00173,0
-0.017283,-0.000337,0
0,0.000861,-0.001876
0,0,0
0,0,0
0,0,0
0,0,0
