Axy 3-65,Cxy 3-65,Bxy 3-65
0.0281,0.00626,0.154
-0.14391,0,0.11556
0,-0.017942,-0.123761
-0.38373,0,0
0,-0.008089,0
0,0,-0.74124
0,0,0.646894
0,0,-0.542674
-0.429709,0,-0.749643
0,-0.016644,0
0,0,0
0,0,0
0,0,0
0,0,-0.162202
0.671268,0,0.972388
0,0,0
0.286926,0,1.46857
0,0,0
0,0,0
0,0,0
0,0,0
-0.182294,0.040041,-0.317644
0,0,0
0,0,-1.08498
0,0,0
0,0,0
0,0,0
0,0,-0.032298
0,0,0
0,0,0
0,0,0
0,0,0.199637
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.060168
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.00346,0
-0.017378,-0.000674,0
0,0.001721,0
0,0,0
0,0,0
0,0,0
0,0,0
